,Helsinki,Portland,Boston
2014-07-07 00:00:00,23.775937281751826,35.19490372528964,38.6666593808846
2014-07-07 01:00:00,23.40561825494377,35.933274349029006,39.94655839437057
2014-07-07 02:00:00,23.501101361564785,34.55337424927549,39.23878944207326
2014-07-07 03:00:00,25.79895274386726,30.053645733247606,35.505744010663726
2014-07-07 04:00:00,29.363679090684535,27.471484713582893,33.19869639647821
2014-07-07 05:00:00,32.29230040633685,24.852037396915783,31.121088655869407
2014-07-07 06:00:00,33.63681414504735,22.875277133207625,29.35545008023736
2014-07-07 07:00:00,34.8817758117938,21.01027451408116,27.78622881056392
2014-07-07 08:00:00,34.95340591646604,19.836290493204405,26.788483939450476
2014-07-07 09:00:00,35.24008453882007,19.961068630921034,27.008379950722315
2014-07-07 10:00:00,34.64861345609743,20.706110925530837,27.780092375367616
2014-07-07 11:00:00,33.72235220122791,23.00136322520423,30.014481528480495
2014-07-07 12:00:00,33.703301122125886,26.53492720648758,33.33935109353219
2014-07-07 13:00:00,33.74794282754794,30.039024316209005,36.69763658423457
2014-07-07 14:00:00,33.226009485248085,33.408353984415214,39.99395364088053
2014-07-07 15:00:00,32.953773608454185,35.77413669215937,42.480036508343694
2014-07-07 16:00:00,33.272483122132705,39.103850370228756,46.15581919094823
2014-07-07 17:00:00,33.35247577479721,40.329726237082525,47.46511142384533
2014-07-07 18:00:00,32.1369976217697,41.86070238392037,49.06396738076618
2014-07-07 19:00:00,32.63485370924957,42.71001974863297,50.026986278827195
2014-07-07 20:00:00,32.63220780726069,42.66716939884621,50.05988949519628
2014-07-07 21:00:00,29.739149987715493,43.58259280732965,50.075912046054384
2014-07-07 22:00:00,27.563715781098782,42.42611671929254,48.93753737627486
2014-07-07 23:00:00,25.997727192616896,39.708844159033475,46.156294341011126
2014-07-08 00:00:00,25.579354292452738,46.2943630676525,51.91530962590453
2014-07-08 01:00:00,25.451620937038097,44.54220336015523,50.19430437897981
2014-07-08 02:00:00,25.227856037512446,41.73661371219181,46.92047062929741
2014-07-08 03:00:00,27.025617683313133,37.235244412301384,40.14262576626148
2014-07-08 04:00:00,31.073755188107807,34.69560117184655,36.61067603572214
2014-07-08 05:00:00,34.26888883859448,32.26795060476595,32.88775365556427
2014-07-08 06:00:00,35.24673912071993,29.098263731659387,28.731165060459784
2014-07-08 07:00:00,36.21109738907272,26.825284842559125,25.610086671964503
2014-07-08 08:00:00,36.09616019276936,25.4417029827801,23.730758297202943
2014-07-08 09:00:00,36.348174802748964,24.85207484869561,23.514934774866575
2014-07-08 10:00:00,35.74858204343556,25.751151819115034,24.765441840254276
2014-07-08 11:00:00,34.25250116948393,28.609828523887238,28.219236311087815
2014-07-08 12:00:00,34.04204243799777,30.62616120907373,31.82661845094926
2014-07-08 13:00:00,33.45646698973968,32.836507523603885,35.71280254432841
2014-07-08 14:00:00,32.72890393773158,33.79860024347077,38.05900252940288
2014-07-08 15:00:00,32.25534131566636,35.97763295493498,40.904082515876986
2014-07-08 16:00:00,32.44605544485477,38.892951817665036,44.67398549879859
2014-07-08 17:00:00,32.57107139258333,40.11180075069819,45.82871258250529
2014-07-08 18:00:00,31.42107460434055,40.454929234180355,46.4866924060309
2014-07-08 19:00:00,31.86813504211156,41.679949633006814,47.62079590873054
2014-07-08 20:00:00,31.783285884083977,41.62943096281568,47.49006639266488
2014-07-08 21:00:00,28.965562999259554,41.83720531775469,47.427987004521896
2014-07-08 22:00:00,27.456113961472774,40.15996841311487,46.08260330469859
2014-07-08 23:00:00,26.264875575059303,35.3104982562997,42.085807511639544
2014-07-09 00:00:00,23.18245609024607,54.4082808913628,60.24768517175602
2014-07-09 01:00:00,22.961581497543612,52.705602049117054,58.387331240643405
2014-07-09 02:00:00,23.0909096337343,48.72550556408067,54.415344166365244
2014-07-09 03:00:00,25.42067888030313,44.03795970030482,49.574966746108075
2014-07-09 04:00:00,29.46080550652337,41.12507594952154,46.072604355856164
2014-07-09 05:00:00,32.195931036091295,39.02006584588125,44.102156142264704
2014-07-09 06:00:00,33.29005186209223,36.233810800744955,41.269894956708455
2014-07-09 07:00:00,35.06966079337342,34.381541845340784,39.45775285994788
2014-07-09 08:00:00,35.1482465961591,32.5592479619701,37.639534542377575
2014-07-09 09:00:00,35.23877499681526,31.830837250722162,37.188622974977
2014-07-09 10:00:00,34.67621044897355,31.774451881460365,37.34844417381235
2014-07-09 11:00:00,33.974848902749834,32.861020825377274,38.79221416884516
2014-07-09 12:00:00,34.7211488176167,34.91562513969479,41.07059285555615
2014-07-09 13:00:00,35.01981688480797,36.24419507579683,42.65919171815309
2014-07-09 14:00:00,34.95191869361616,39.62492261511708,46.848823528422855
2014-07-09 15:00:00,34.348772422924924,38.92156513696789,46.39400234502216
2014-07-09 16:00:00,34.24360048327855,43.800086641740506,52.63169641346325
2014-07-09 17:00:00,34.53193610916848,46.133913722116304,55.62414298404807
2014-07-09 18:00:00,33.2387046279626,47.931985283689535,57.945526021107455
2014-07-09 19:00:00,34.06249005939123,47.807536981276705,58.09492978932239
2014-07-09 20:00:00,33.927659390913306,47.486048437257175,57.978515579459284
2014-07-09 21:00:00,29.31889372181766,47.4235689681007,57.45806680312012
2014-07-09 22:00:00,27.03400103394309,45.77475077085533,55.88968822738872
2014-07-09 23:00:00,25.494195366547476,40.365533538683586,49.84077342997931
2014-07-10 00:00:00,21.05282820847285,43.00329281275445,48.166796345013765
2014-07-10 01:00:00,20.8124605635913,43.80207066247259,46.92747791028926
2014-07-10 02:00:00,21.145669061987704,40.15253180923763,40.92892278198252
2014-07-10 03:00:00,23.487946550154042,34.96564706512077,35.310074755349575
2014-07-10 04:00:00,29.12883052280356,32.10406412622139,33.22573479279541
2014-07-10 05:00:00,32.091305215569164,28.9944839853304,32.564879086719614
2014-07-10 06:00:00,32.682431481617876,25.911912174319884,31.34884573993551
2014-07-10 07:00:00,34.34796483635204,23.383882844217517,30.604837589901905
2014-07-10 08:00:00,34.814654878998276,21.745372150610574,29.839518760274615
2014-07-10 09:00:00,35.09215872224327,21.856633430570664,30.298326893064825
2014-07-10 10:00:00,34.74738040956856,23.950804230771116,31.925028498421216
2014-07-10 11:00:00,33.99311712099811,27.419577187411736,34.497966683970475
2014-07-10 12:00:00,34.09148084526119,30.746622921099878,36.467694925003194
2014-07-10 13:00:00,34.22800186573537,35.55067922196501,39.44584878235763
2014-07-10 14:00:00,34.12805400772814,39.57981830584227,43.49856405404928
2014-07-10 15:00:00,33.768917061663096,43.07180513479366,46.45934757186656
2014-07-10 16:00:00,34.16419009545404,47.28034022342651,52.09226748903179
2014-07-10 17:00:00,34.40725229128328,50.489694808297344,56.609686503556205
2014-07-10 18:00:00,32.854326198818036,52.64034356089079,59.63575419495143
2014-07-10 19:00:00,33.53216633179461,54.13353797581217,61.00683230284808
2014-07-10 20:00:00,33.064767736546735,54.81802165330108,61.95722799622426
2014-07-10 21:00:00,27.520993058434673,54.6295479714394,60.946856825197315
2014-07-10 22:00:00,25.76117696403285,52.40182125582833,58.8904094574227
2014-07-10 23:00:00,23.936239023321832,45.52770742073576,51.33282996621554
