Date,Hamina,St.Ghislain,Potsdam,Portland,Boston
2014-07-18 04:00:00,49.61,38.26,38.26,21.33,22.45
2014-07-18 05:00:00,50.89,45.08,45.08,19.06,20.38
2014-07-18 06:00:00,54.03,45.82,45.82,18.16,19.33
2014-07-18 07:00:00,54.04,43.97,43.97,16.62,17.54
2014-07-18 08:00:00,55.38,42.94,42.94,17.85,18.93
2014-07-18 09:00:00,53.18,41.14,41.14,19.1,20.0
2014-07-18 10:00:00,50.82,39.94,39.94,23.08,23.96
2014-07-18 11:00:00,50.55,36.99,36.99,26.78,28.13
2014-07-18 12:00:00,50.16,36.63,36.63,28.58,29.94
2014-07-18 13:00:00,49.48,37.62,36.41,30.77,32.01
2014-07-18 14:00:00,47.17,37.72,36.69,30.83,32.06
2014-07-18 15:00:00,46.35,40.95,40.95,30.67,44.5
2014-07-18 16:00:00,45.37,44.44,44.44,31.73,49.61
2014-07-18 17:00:00,40.93,46.46,46.46,34.83,49.82
2014-07-18 18:00:00,42.61,43.98,43.98,34.94,51.07
2014-07-18 19:00:00,39.76,39.87,39.87,38.71,51.28
2014-07-18 20:00:00,34.65,42.65,42.65,38.79,51.08
2014-07-18 21:00:00,34.66,40.94,40.94,35.34,50.03
2014-07-18 22:00:00,30.84,37.22,33.86,31.45,33.18
2014-07-18 23:00:00,29.19,33.92,30.84,33.05,34.69
2014-07-19 00:00:00,28.91,33.12,29.19,32.34,33.81
2014-07-19 01:00:00,28.77,33.12,28.91,30.54,31.97
2014-07-19 02:00:00,28.33,31.56,28.77,28.91,30.1
2014-07-19 03:00:00,31.27,28.33,28.33,28.71,29.8
2014-07-19 04:00:00,40.19,10.51,29.62,22.65,23.62
2014-07-19 05:00:00,40.21,15.7,31.83,20.08,21.0
2014-07-19 06:00:00,40.25,23.78,32.27,18.78,19.64
2014-07-19 07:00:00,42.9,29.47,31.99,17.85,18.57
2014-07-19 08:00:00,42.41,31.66,31.66,17.33,17.97
2014-07-19 09:00:00,40.25,29.49,29.49,17.41,17.99
2014-07-19 10:00:00,40.2,28.51,28.51,17.99,18.69
2014-07-19 11:00:00,40.2,25.12,25.12,20.42,21.13
2014-07-19 12:00:00,40.22,25.85,25.85,24.75,25.7
2014-07-19 13:00:00,40.23,28.07,28.07,29.7,30.75
2014-07-19 14:00:00,40.24,28.09,28.09,29.82,30.89
2014-07-19 15:00:00,40.24,33.37,31.81,30.43,31.52
2014-07-19 16:00:00,40.2,37.79,35.54,31.33,32.51
2014-07-19 17:00:00,39.81,37.81,37.81,30.57,31.66
2014-07-19 18:00:00,42.02,40.42,37.7,31.08,32.4
2014-07-19 19:00:00,43.53,34.93,34.93,31.08,32.46
2014-07-19 20:00:00,38.08,50.42,35.15,31.17,32.46
2014-07-19 21:00:00,27.52,50.66,31.88,31.24,32.52
2014-07-19 22:00:00,25.58,51.57,25.98,30.03,31.03
2014-07-19 23:00:00,22.99,35.49,23.2,29.68,30.83
2014-07-20 00:00:00,21.92,32.65,20.0,29.83,30.93
2014-07-20 01:00:00,19.89,23.34,21.39,29.5,30.64
2014-07-20 02:00:00,16.92,19.89,19.41,26.14,27.15
2014-07-20 03:00:00,18.09,16.92,16.52,23.79,24.85
2014-07-20 04:00:00,38.05,18.09,16.53,23.39,24.35
2014-07-20 05:00:00,38.04,22.0,21.47,19.01,19.8
2014-07-20 06:00:00,39.76,21.55,18.13,17.16,17.9
2014-07-20 07:00:00,40.27,33.61,18.67,16.23,16.9
2014-07-20 08:00:00,47.24,37.79,19.51,16.13,16.79
2014-07-20 09:00:00,45.15,44.95,23.62,16.05,16.68
2014-07-20 10:00:00,44.51,37.79,24.5,15.86,16.51
2014-07-20 11:00:00,45.19,37.79,20.58,15.83,16.58
2014-07-20 12:00:00,47.41,35.63,22.48,23.52,24.5
2014-07-20 13:00:00,46.46,36.44,20.45,26.25,27.32
2014-07-20 14:00:00,43.59,36.73,22.9,26.19,27.18
2014-07-20 15:00:00,45.83,37.72,28.14,29.72,30.89
2014-07-20 16:00:00,43.6,48.59,31.71,29.7,30.96
2014-07-20 17:00:00,42.37,43.19,32.3,30.35,31.59
2014-07-20 18:00:00,48.29,45.82,32.12,29.59,30.97
2014-07-20 19:00:00,47.93,42.22,30.47,29.77,31.33
2014-07-20 20:00:00,38.95,41.02,31.89,31.08,32.65
2014-07-20 21:00:00,36.79,33.64,28.08,31.0,32.41
2014-07-20 22:00:00,27.06,37.72,26.74,31.06,32.36
2014-07-20 23:00:00,24.63,25.76,25.76,29.62,30.95
2014-07-21 00:00:00,24.82,24.63,24.63,30.68,32.25
2014-07-21 01:00:00,27.07,24.82,24.82,29.35,30.9
2014-07-21 02:00:00,40.22,24.5,24.5,25.42,26.69
2014-07-21 03:00:00,42.4,16.38,26.47,23.99,24.84
2014-07-21 04:00:00,49.38,33.04,36.67,23.04,23.94
2014-07-21 05:00:00,50.77,26.74,43.89,20.74,21.48
2014-07-21 06:00:00,51.03,33.85,46.37,19.4,20.04
2014-07-21 07:00:00,51.39,40.15,47.59,18.72,19.33
2014-07-21 08:00:00,51.4,46.28,47.67,19.28,19.85
2014-07-21 09:00:00,51.37,47.82,47.82,20.99,21.61
2014-07-21 10:00:00,50.96,46.98,46.98,24.98,25.94
2014-07-21 11:00:00,50.79,45.11,45.11,25.97,26.92
2014-07-21 12:00:00,49.87,41.5,41.5,28.66,29.32
2014-07-21 13:00:00,45.74,38.83,38.83,31.46,32.05
2014-07-21 14:00:00,42.01,36.86,37.7,33.16,33.67
2014-07-21 15:00:00,40.25,36.66,39.54,33.18,33.8
2014-07-21 16:00:00,40.25,38.35,38.86,34.82,35.36
2014-07-21 17:00:00,38.11,38.78,38.78,40.95,41.78
2014-07-21 18:00:00,43.82,35.49,35.49,41.41,42.43
2014-07-21 19:00:00,40.22,32.75,32.75,41.61,42.77
2014-07-21 20:00:00,28.9,31.42,31.42,41.53,42.77
2014-07-21 21:00:00,30.23,31.35,28.9,40.25,41.51
2014-07-21 22:00:00,28.25,30.23,30.23,31.07,31.88
2014-07-21 23:00:00,27.84,28.25,28.25,31.38,31.95
2014-07-22 00:00:00,27.09,23.67,27.84,33.3,34.18
2014-07-22 01:00:00,28.14,27.09,27.09,30.89,32.04
2014-07-22 02:00:00,36.71,12.6,28.14,27.83,29.14
