,Portland,Boston,Richmond,Brighton,Hatfield,Madison,Georgetown
2013-06-20 00:00:00,30.04017445020141,31.62959149805077,31.754553544488765,33.26710164313955,31.7410864214099,34.34642673741568,31.664908042359503
2013-06-20 01:00:00,30.04017445020141,31.62959149805077,31.754553544488765,33.26710164313955,31.7410864214099,34.34642673741568,31.664908042359503
2013-06-20 02:00:00,29.914781539937422,31.54883849812418,31.696829635597556,33.287948654794796,31.63104329323571,32.44542459114834,31.45337566484949
2013-06-20 03:00:00,29.54386749618584,31.18390260284773,31.99144225345425,33.185524508809856,31.36350060494793,32.734757596631866,31.696551486837095
2013-06-20 04:00:00,30.33490449272684,32.04638051218564,32.424531937697175,33.5141356843641,31.650030059874148,32.172747689937125,32.06291617989513
2013-06-20 05:00:00,30.330530449892535,32.063565730472234,32.614356859893874,33.55880004854802,31.587510713848648,32.392148318172225,32.21795687420589
2013-06-20 06:00:00,30.328066099053082,32.05631462610467,32.62076204376306,33.47026882879253,31.40164135318021,32.24398436843021,32.193668086514585
2013-06-20 07:00:00,30.41864959034432,32.142112496174356,32.67620980540424,33.457012031969,31.318748813158926,32.06479855845611,32.25174202492701
2013-06-20 08:00:00,30.413149577783308,32.145004550889034,32.75509523534934,33.4790663801233,31.264964401651643,31.952376259813054,32.27615042201791
2013-06-20 09:00:00,30.332750650667144,32.05887636342756,32.93732970870036,33.62886529839691,31.369311716606518,31.913505077154564,32.44350882261333
2013-06-20 10:00:00,30.64053255402868,32.37485576892536,32.81736385399511,33.490321140849105,31.178518164625533,31.993070301436365,32.35451058929377
2013-06-20 11:00:00,30.703181644280477,32.42441083875357,33.15971472638126,33.808681738837514,31.4890120802687,31.80152498261403,32.64407853778522
2013-06-20 12:00:00,30.59518257755554,32.317675035533824,33.33554677675847,33.939982359682105,31.588416905559342,32.07370181592798,32.81511292670798
2013-06-20 13:00:00,30.61390177387831,32.33409117711908,33.480402569502466,34.097258342036426,31.762876957142982,32.18982170630693,32.96289608056126
2013-06-20 14:00:00,30.633131359644473,32.349968416948606,33.604923510332966,34.18848519246646,31.883991317659135,32.298369618524085,33.08561016331131
2013-06-20 15:00:00,30.571923961375855,32.29602223560392,33.70576662658269,34.237855041916,31.976666080135317,32.39412806992504,33.190257585102934
2013-06-20 16:00:00,30.661279105800787,32.3892271983667,33.91319408878041,34.45051828213379,32.173937202160936,32.47332322862026,33.40817853373467
2013-06-20 17:00:00,30.577061279414345,32.32608818346432,34.371265006956946,34.9178837458104,32.7280298214105,32.65656355990211,33.873624490739495
2013-06-20 18:00:00,30.6140070655659,32.34669405705995,34.34877968394926,34.95488463799073,32.743208244878616,33.08047764799961,33.87714529118491
2013-06-20 19:00:00,30.78651401329199,32.533684038802896,34.14811130643001,34.7482854857192,32.4545126952032,33.07345992211562,33.65015652748707
2013-06-20 20:00:00,31.15535777195668,32.909572472853355,34.90473259641802,35.48675854852118,33.354504986742675,32.87668547711533,34.43095944588295
2013-06-20 21:00:00,31.130187241318595,32.874893744695875,34.96530440510163,35.5462089840332,33.416133363249656,33.59662682940658,34.48849458031988
2013-06-20 22:00:00,30.699172913949372,32.436047546106714,34.87618771547841,35.46009272184894,33.306974034169954,33.65876012386522,34.39026735101808
2013-06-20 23:00:00,30.721698126000394,32.45255456137652,33.95821850481862,34.573888241730366,32.221287206680024,33.56696052670898,33.436185711534094
2013-06-21 00:00:00,30.84425851241974,32.56187013696038,33.736308540637616,34.336194220826755,31.95229742665305,32.67804921205473,33.20240229013618
2013-06-21 01:00:00,31.562831799726254,33.25817270338953,39.28650700454914,39.10546548351207,37.309679545203075,39.72176682788286,38.84856259717246
2013-06-21 02:00:00,31.779384926316695,33.48015678127019,36.81771218627266,38.01284243633155,36.042073222674944,39.01824337806815,36.194027810273326
2013-06-21 03:00:00,31.372424012129652,33.08185481718619,36.15097829929588,37.10206435924841,34.999171054077294,36.84469747987232,35.62558815418364
2013-06-21 04:00:00,31.752698594599046,33.50026038583175,34.87953124535998,36.11166153706104,33.82643195495963,35.698738393572754,34.27532318623932
2013-06-21 05:00:00,31.313614672921638,33.055836730274684,33.9182713829979,35.13425290317233,32.67270123833511,34.323480950498094,33.31499357052978
2013-06-21 06:00:00,31.160739210272073,32.91117318275221,34.202335039410244,35.412548584770185,33.076298011451776,33.196046751927405,33.6143515687819
2013-06-21 07:00:00,31.43189494924747,33.17586335100018,33.55447414898088,34.73134798726873,32.27394966040527,33.351622284719,32.963233519401264
2013-06-21 08:00:00,30.642104113543446,32.36760775359153,33.73818151739276,34.865818896778904,32.476837880250415,32.616171490794024,33.15670224713921
2013-06-21 09:00:00,30.7476723018361,32.48562982796054,33.63999231066635,34.69753312665048,32.297077994768266,32.722519688348974,33.059186247117225
2013-06-21 10:00:00,31.14156432229317,32.88642933449823,33.62689972577679,34.631457502883784,32.22454852299826,32.558513023269406,33.04862504712542
2013-06-21 11:00:00,31.03903842387363,32.75450613735874,33.64576666203344,34.604776542942865,32.18258515782463,32.50177211775258,33.08093806621329
2013-06-21 12:00:00,31.031485046432568,32.730049553750156,33.79538659896318,34.71730340363734,32.316087522580254,32.47863848168571,33.24362259555628
2013-06-21 13:00:00,30.96064405832985,32.65669420739064,33.895567667101915,34.78360445837019,32.385790392136805,32.58405704948622,33.35218012545333
2013-06-21 14:00:00,30.97323860265892,32.682964114936404,34.25637113589918,35.11926117916461,32.78039334838728,32.653508081161256,33.72276985595892
2013-06-21 15:00:00,31.07254050117153,32.78788649992521,34.39399715535423,35.19446619763547,32.875929885811004,32.979446213304925,33.85762354387994
