,Portland,Boston,Richmond,Brighton,Hatfield,Madison,Georgetown
2013-01-01 00:00:00,60.54301512288398,62.40962606172287,27.60480121223034,31.98599048754705,27.156719124554897,27.77089171912318,28.219758889658845
2013-01-01 01:00:00,60.54301512288398,62.40962606172287,27.60480121223034,31.98599048754705,27.156719124554897,27.77089171912318,28.219758889658845
2013-01-01 02:00:00,62.60109411849522,64.56171426658709,27.040239906741185,34.335949064199546,27.202071373055173,27.869494653099107,27.829009010528182
2013-01-01 03:00:00,61.99249130935317,63.95112198579112,26.03470092948262,32.59606645361482,26.488080802178104,27.43932461799719,26.65102718969032
2013-01-01 04:00:00,59.156362748506766,60.986564075532364,24.84159570561942,32.336685881652286,25.595970140894845,26.35664775722963,25.48207399662943
2013-01-01 05:00:00,69.08127317600751,71.29673475756748,25.441822053543437,34.38859326880143,25.912195615100586,25.467119854381217,25.993023892439197
2013-01-01 06:00:00,62.33544281395773,64.36683425716684,24.941121682793746,34.424919401635506,25.83584203444648,25.947274205836507,25.83123218067857
2013-01-01 07:00:00,59.24447563940941,61.09413676566537,24.69455263384923,34.28227208098147,25.20501306669249,25.625737302647103,25.292044895659313
2013-01-01 08:00:00,52.977666066756875,54.585207900421615,24.334940815819394,35.11939211136495,25.3121490011686,25.31434763117061,25.11443865841628
2013-01-01 09:00:00,54.84192265903024,56.371535618075015,24.256695391376525,35.798445984283845,25.799498898721453,25.098827225458475,25.189446386232394
2013-01-01 10:00:00,59.524073821507955,61.14965119859778,24.48922611923603,36.360570057016346,26.16895586669576,25.034979659885614,25.359459067028176
2013-01-01 11:00:00,65.79033448262695,67.45745328793596,26.823890425937524,36.78761808143257,26.22025757096101,25.29630142459532,25.65521830613965
2013-01-01 12:00:00,67.406535320054,68.82380549602537,25.10224331431242,38.386465552208264,27.307762174213995,26.80215495248053,26.338235875130593
2013-01-01 13:00:00,68.30292721426271,69.59687082741763,25.578656007167773,39.12424730099811,27.144341721373603,25.97787297130932,27.022577371276657
2013-01-01 14:00:00,74.90449614606885,76.43819619742139,26.618107385798822,42.95560534594935,26.095590669421743,26.41129896120672,27.961894491158333
2013-01-01 15:00:00,74.85155760697516,76.69312599017506,26.80755598388223,43.8599031640032,25.67635499412703,27.413203944156873,28.168369919145753
2013-01-01 16:00:00,73.7824457018892,75.7969699846972,26.811662988016536,41.03677465629192,27.08736233055941,27.618027816418017,28.32702367960561
2013-01-01 17:00:00,73.9637149025078,76.11722865686974,25.608051496113067,41.10371980070231,26.744893768897317,27.67840769590846,26.87748583916141
2013-01-01 18:00:00,71.32607868296823,73.28020498339222,26.126397569631052,42.87400413326275,25.799777555545433,26.570427913023067,27.6629744498145
2013-01-01 19:00:00,64.53423888187493,66.06804591787103,24.747833675698423,39.26529673039713,26.390142245919925,27.064234781206775,26.57552884901751
2013-01-01 20:00:00,67.38508648492018,68.88538878042732,24.90789818914267,38.68000061293358,26.50280571922253,25.771707015707783,26.681966972857506
2013-01-01 21:00:00,84.44087391016568,86.41932768193078,25.7845336081537,40.288086471172335,27.964511255090898,25.95120327315171,27.808699999349777
2013-01-01 22:00:00,95.85224796720071,98.76856559047543,27.991956660940055,46.089984973052765,29.115026923072747,26.810494371495178,30.04532143194694
2013-01-01 23:00:00,84.55864532226234,87.02150624784134,27.46527401852588,42.73445809785192,28.593564666368295,28.865590694310047,29.495500833212137
2013-01-02 00:00:00,70.37332763344557,72.38643497355125,26.719492040220597,41.31411913243101,28.2086106689224,28.35507421375419,28.645000795681618
2013-01-02 01:00:00,103.79933706681311,108.13934614546969,28.897079350548196,30.919301029301174,29.384709197873914,27.124303777524506,29.868291509181418
2013-01-02 02:00:00,89.86262518313632,93.30461054467307,27.30056570216183,31.27978089276385,27.755237652978536,26.932265427968872,27.861381214409406
2013-01-02 03:00:00,79.2783648509758,81.98486449339102,26.328827046719287,30.390015259040503,27.549204033481917,26.04061223806599,27.1887518953209
2013-01-02 04:00:00,74.59940779660349,77.01106674764492,25.04880396565517,29.49186672156648,27.412047569402976,25.490171237527825,25.38857055029938
2013-01-02 05:00:00,84.52573780252133,87.27320933163074,25.371624566341733,30.688113648111855,26.998461904678802,24.4011163009321,25.875054479205865
2013-01-02 06:00:00,87.80642733245804,91.06592067299022,24.747409458979618,30.796961649319528,26.794987774039246,24.832016780331912,25.049603440803264
2013-01-02 07:00:00,65.0760269906305,67.16698916903053,23.783873411683004,30.2903712714899,26.547880908378055,24.272890332869782,24.04305181584125
2013-01-02 08:00:00,64.12772132239236,66.20542037262656,23.985144813521384,30.845175071431242,26.489442164338218,23.319964607150254,24.137153827709607
2013-01-02 09:00:00,66.16298033187432,68.45216516794952,22.95410934638954,31.13461148608842,25.895346802324557,23.54518226662689,23.18196775909822
2013-01-02 10:00:00,64.61077231930204,66.79440154903902,24.1195997301952,31.833991652655108,25.997720213217494,22.428010936874298,24.22778323898207
2013-01-02 11:00:00,63.406126180730965,65.51614240282699,25.3963224661166,32.02216724295604,26.13632626294858,23.602997421644144,24.453569363071257
2013-01-02 12:00:00,60.00069202166303,61.99061969483452,25.03266460939295,33.573216171152936,26.007766497329946,24.572370908677854,25.25430415253342
2013-01-02 13:00:00,64.77024149589363,66.92700716914399,25.279179841381257,34.34050738309344,25.888393048558243,24.487963194117203,25.54602614374917
2013-01-02 14:00:00,66.20982425504616,68.41701941484943,26.361007192604674,38.299477225311556,25.938966258930083,24.722483225175843,26.445487169271292
2013-01-02 15:00:00,67.86625652718432,70.27461515258709,27.050851585449458,39.425208423304845,26.298264411184526,25.765437734972807,27.292038935223687
